record_id,location_id,event_type,value,event_date
REC-001,LOC-011,ADJUSTMENT,231.55,2025-02-08
REC-002,LOC-003,PAYMENT,1475.58,2025-05-14
REC-003,LOC-001,REFUND,69.30,2025-02-17
REC-004,LOC-010,REFUND,62.81,2025-06-21
REC-005,LOC-012,REFUND,1094.43,2025-04-19
REC-006,LOC-005,PAYMENT,,2025-02-23
REC-007,LOC-007,REFUND,687.10,2025-02-25
REC-008,LOC-006,TRANSFER,213.40,2025-01-12
REC-009,LOC-006,PAYMENT,1211.41,2025-06-15
REC-010,LOC-009,TRANSFER,258.40,2025-01-18
REC-011,LOC-005,ADJUSTMENT,1660.52,2025-05-07
REC-012,LOC-012,REFUND,148.41,2025-03-03
REC-013,LOC-004,TRANSFER,N/A,2025-03-15
REC-014,LOC-011,REFUND,1669.88,2025-03-12
REC-015,LOC-004,PAYMENT,1343.65,2025-05-21
REC-016,LOC-003,REFUND,1072.94,2025-02-15
REC-017,LOC-007,REFUND,547.20,2025-06-11
REC-018,LOC-001,PAYMENT,465.81,2025-03-13
REC-019,LOC-005,ADJUSTMENT,141.72,2025-02-21
REC-020,LOC-008,TRANSFER,797.31,2025-02-09
REC-021,LOC-999,ADJUSTMENT,500.79,2025-06-19
REC-022,LOC-007,TRANSFER,1796.67,2025-03-08
REC-023,LOC-003,PAYMENT,1023.96,2025-01-28
REC-024,LOC-002,REFUND,314.15,2025-06-14
REC-025,LOC-010,TRANSFER,136.42,2025-05-15
REC-026,LOC-009,PAYMENT,510.31,2025-06-24
REC-027,LOC-002,ADJUSTMENT,1366.60,2025-06-11
REC-028,LOC-002,REFUND,594.07,2025-04-01
REC-029,LOC-012,ADJUSTMENT,1752.95,2025-05-25
REC-030,LOC-003,PAYMENT,1020.29,2025-06-10
REC-031,LOC-011,REFUND,1020.25,2025-02-12
REC-032,LOC-003,PAYMENT,1083.36,2025-05-11
REC-033,LOC-008,ADJUSTMENT,48.76,2025-03-08
REC-034,LOC-001,PAYMENT,489.33,2025-01-24
REC-035,LOC-008,REFUND,1633.89,2025-02-22
REC-036,LOC-008,REFUND,1894.23,2025-03-17
REC-037,LOC-010,REFUND,852.04,2025-05-25
REC-038,LOC-012,ADJUSTMENT,1382.84,2025-04-22
REC-039,LOC-011,TRANSFER,753.11,2025-01-08
REC-040,LOC-004,PAYMENT,137.41,2025-05-18
REC-041,LOC-004,PAYMENT,1181.00,2025-01-23
REC-042,LOC-011,PAYMENT,127.16,2025-01-28
REC-043,LOC-006,REFUND,151.01,2025-03-22
REC-044,LOC-008,REFUND,436.33,2025-06-19
REC-045,LOC-010,TRANSFER,950.62,2025-04-07
REC-046,LOC-002,TRANSFER,202.89,2025-03-14
REC-047,LOC-007,PAYMENT,939.38,2025-06-21
REC-048,LOC-011,TRANSFER,205.85,2025-06-11
REC-049,LOC-002,REFUND,504.83,2025-05-15
REC-050,LOC-003,ADJUSTMENT,849.54,2025-04-08
REC-051,LOC-002,PAYMENT,891.83,2025-01-21
REC-052,LOC-009,PAYMENT,1673.69,2025-02-06
REC-053,LOC-007,REFUND,976.43,2025-04-02
REC-054,LOC-003,TRANSFER,764.16,2025-03-26
REC-055,LOC-008,TRANSFER,577.65,2025-02-07
REC-056,LOC-005,PAYMENT,443.22,2025-05-24
REC-057,LOC-009,ADJUSTMENT,131.31,2025-01-02
REC-058,LOC-010,REFUND,958.81,2025-01-17
REC-059,LOC-002,PAYMENT,1704.17,2025-05-03
REC-060,LOC-011,TRANSFER,1725.02,2025-01-19
REC-061,LOC-004,PAYMENT,1162.05,2025-05-03
REC-062,LOC-007,ADJUSTMENT,1318.17,2025-03-07
REC-063,LOC-011,REFUND,1435.22,2025-03-13
REC-064,LOC-003,ADJUSTMENT,1346.66,2025-04-11
REC-065,LOC-002,PAYMENT,28.54,2025-01-18
REC-066,LOC-004,REFUND,1016.71,2025-03-03
REC-067,LOC-004,REFUND,745.36,2025-04-27
REC-068,LOC-009,PAYMENT,1410.04,2025-06-27
REC-069,LOC-009,PAYMENT,605.76,2025-02-09
REC-070,LOC-002,REFUND,1780.53,2025-03-10
REC-071,LOC-010,ADJUSTMENT,429.15,2025-02-22
REC-072,LOC-011,TRANSFER,1707.30,2025-03-28
REC-073,LOC-001,TRANSFER,193.67,2025-03-02
REC-074,LOC-001,REFUND,673.78,2025-06-09
REC-075,LOC-003,TRANSFER,1485.05,2025-05-01
REC-076,LOC-002,REFUND,159.74,2025-05-02
REC-077,LOC-006,REFUND,1169.19,2025-04-05
REC-078,LOC-001,PAYMENT,623.43,2025-03-07
REC-079,LOC-011,PAYMENT,506.56,2025-03-25
REC-080,LOC-009,TRANSFER,1769.43,2025-05-24
REC-081,LOC-003,REFUND,1852.27,2025-02-26
REC-082,LOC-003,PAYMENT,1764.02,2025-02-24
REC-083,LOC-006,TRANSFER,1566.95,2025-06-28
REC-084,LOC-012,ADJUSTMENT,1623.39,2025-02-26
REC-085,LOC-012,PAYMENT,225.11,2025-04-08
REC-086,LOC-004,TRANSFER,1635.01,2025-03-10
REC-087,LOC-004,REFUND,453.62,2025-04-11
REC-088,LOC-005,ADJUSTMENT,1730.06,2025-03-21
REC-089,LOC-009,ADJUSTMENT,805.36,2025-01-04
REC-090,LOC-005,ADJUSTMENT,365.35,2025-01-04
REC-091,LOC-010,ADJUSTMENT,874.78,2025-04-20
REC-092,LOC-009,REFUND,240.14,2025-03-02
REC-093,LOC-012,REFUND,877.75,2025-03-14
REC-094,LOC-002,ADJUSTMENT,1898.26,2025-05-11
REC-095,LOC-011,ADJUSTMENT,1697.55,2025-05-10
REC-096,LOC-011,TRANSFER,822.70,2025-06-10
REC-097,LOC-009,TRANSFER,263.30,2025-06-13
REC-098,LOC-011,REFUND,1498.79,2025-05-19
REC-099,LOC-005,PAYMENT,818.09,2025-03-10
REC-100,LOC-004,ADJUSTMENT,865.48,2025-04-15
REC-101,LOC-008,TRANSFER,1354.50,2025-06-06
REC-102,LOC-011,ADJUSTMENT,178.74,2025-01-27
REC-103,LOC-004,REFUND,1348.86,2025-02-05
REC-104,LOC-001,TRANSFER,101.97,2025-05-28
REC-105,LOC-002,REFUND,916.28,2025-06-23
REC-106,LOC-007,REFUND,993.81,2025-02-21
REC-107,LOC-012,PAYMENT,21.03,2025-04-08
REC-108,LOC-003,TRANSFER,1610.18,2025-01-18
REC-109,LOC-004,PAYMENT,1835.77,2025-04-05
REC-110,LOC-008,ADJUSTMENT,1338.48,2025-04-20
REC-111,LOC-012,TRANSFER,1785.12,2025-05-15
REC-112,LOC-003,TRANSFER,1489.87,2025-04-09
REC-113,LOC-004,ADJUSTMENT,1681.33,2025-05-16
REC-114,LOC-011,TRANSFER,486.10,2025-01-23
REC-115,LOC-005,ADJUSTMENT,476.64,2025-03-18
REC-116,LOC-002,REFUND,285.36,2025-04-23
REC-117,LOC-003,PAYMENT,1415.77,2025-04-14
REC-118,LOC-006,TRANSFER,1089.80,2025-01-07
REC-119,LOC-007,PAYMENT,785.06,2025-05-13
REC-120,LOC-008,ADJUSTMENT,21.73,2025-03-25
