entry_id,record_ref,location_id,value,entry_date
ENT-047,REC-047,LOC-007,$939.38,2025-06-21
ENT-070,070,LOC-002,"$1,780.53",2025-03-10
ENT-023,REC-023,LOC-003,"$1,023.96",2025-01-28
ENT-006,REC006,LOC-005,,2025-02-23
ENT-050,rec_050,LOC-003,$849.54,2025-04-08
ENT-097,rec_097,LOC-009,$263.30,2025-06-13
ENT-115,REC-120,LOC-008,$21.73,2025-03-25
ENT-027,REC027,LOC-002,"$1,361.60",2025-06-11
ENT-103,REC112,LOC-003,"$1,489.87",2025-04-09
ENT-073,REC073,LOC-001,$193.67,2025-03-02
ENT-064, REC-064 ,LOC-003,"$1,346.66",2025-04-11
ENT-057, REC-057 ,LOC-009,$131.31,2025-01-02
ENT-102,REC111,LOC-012,"$1,785.12",2025-05-15
ENT-049,rec_049,LOC-002,$504.83,2025-05-15
ENT-066,rec_066,LOC-004,"$1,017.21",2025-03-03
ENT-060,060,LOC-011,"$1,725.02",2025-01-19
ENT-014,REC014,LOC-011,"$1,664.88",2025-03-12
ENT-086,REC-086,LOC-004,"$1,635.01",2025-03-10
ENT-044,044,LOC-008,$436.33,2025-06-19
ENT-034,034,LOC-001,$489.33,2025-01-24
ENT-078,REC-078,LOC-001,$623.43,2025-03-07
ENT-010,REC010,LOC-009,$258.40,2025-01-18
ENT-080, REC-080 ,LOC-009,"$1,769.43",2025-05-24
ENT-065,REC-065,LOC-002,$28.54,2025-01-18
ENT-079,079,LOC-011,$511.56,2025-03-25
ENT-118,REC-503,LOC-006,400.94,2025-04-01
ENT-039,039,LOC-011,$753.11,2025-01-08
ENT-021, REC-021 ,LOC-999,$500.79,2025-06-19
ENT-084,REC084,LOC-012,"$1,623.39",2025-02-26
ENT-054,rec_054,LOC-003,$764.16,2025-03-26
ENT-074,rec_074,LOC-001,$673.78,2025-06-09
ENT-026,rec_026,LOC-009,$510.31,2025-06-24
ENT-005,rec_005,LOC-012,"$1,094.43",2025-04-19
ENT-008,008,LOC-006,$213.40,2025-01-12
ENT-091,REC091,LOC-010,$874.78,2025-04-20
ENT-017, REC-017 ,LOC-007,$547.20,2025-06-11
ENT-112,rec_117,LOC-003,"$1,415.77",2025-04-14
ENT-090,REC090,LOC-005,$365.35,2025-01-04
ENT-022, REC-022 ,LOC-007,"$1,796.67",2025-03-08
ENT-109,REC-115,LOC-005,$476.64,2025-03-18
ENT-042, REC-042 ,LOC-011,$127.16,2025-01-28
ENT-108,rec_114,LOC-011,$486.10,2025-01-23
ENT-051,REC-051,LOC-002,$891.83,2025-01-21
ENT-117,REC-502,LOC-003,248.90,2025-04-01
ENT-082,082,LOC-003,"$1,764.02",2025-02-24
ENT-007,rec_007,LOC-007,$687.10,2025-02-25
ENT-095,rec_095,LOC-011,"$1,697.55",2025-05-10
ENT-104, REC-112 ,LOC-003,"$1,489.87",2025-04-09
ENT-056,REC-056,LOC-005,$443.22,2025-05-24
ENT-087, REC-087 ,LOC-004,$453.62,2025-04-11
ENT-019,REC-019,LOC-005,$141.72,2025-02-21
ENT-088,088,LOC-005,"$1,730.06",2025-03-21
ENT-004, REC-004 ,LOC-010,$62.81,2025-06-21
ENT-101, REC-111 ,LOC-012,"$1,785.12",2025-05-15
ENT-018, REC-018 ,LOC-001,$465.81,2025-03-13
ENT-009,REC009,LOC-006,"$1,211.41",2025-06-15
ENT-081,REC-081,LOC-003,"$1,852.27",2025-02-26
ENT-105, REC-113 ,LOC-004,"$1,681.33",2025-05-16
ENT-001,REC001,LOC-011,$241.55,2025-02-08
ENT-020,REC020,LOC-008,$797.31,2025-02-09
ENT-100, REC-100 ,LOC-004,$865.48,2025-04-15
ENT-110,REC115,LOC-005,$476.64,2025-03-18
ENT-015,REC015,LOC-004,"$1,343.65",2025-05-21
ENT-099,099,LOC-005,$818.09,2025-03-10
ENT-113,REC118,LOC-006,"$1,099.80",2025-01-07
ENT-013,013,LOC-004,N/A,2025-03-15
ENT-037,037,LOC-010,$852.04,2025-05-25
ENT-120,,LOC-010,353.58,2025-04-01
ENT-062,rec_062,LOC-007,"$1,318.17",2025-03-07
ENT-028,REC-028,LOC-002,$594.07,2025-04-01
ENT-076, REC-076 ,LOC-002,$159.74,2025-05-02
ENT-024,REC-024,LOC-002,$314.15,2025-06-14
ENT-069,REC-069,LOC-009,$605.76,2025-02-09
ENT-077,rec_077,LOC-006,"$1,169.19",2025-04-05
ENT-041,REC-041,LOC-004,"$1,181.00",2025-01-23
ENT-116,REC-501,LOC-008,426.97,2025-04-01
ENT-016,rec_016,LOC-003,"$1,072.94",2025-02-15
ENT-030,REC030,LOC-003,"$1,020.29",2025-06-10
ENT-033,REC033,LOC-008,$48.76,2025-03-08
ENT-094,REC094,LOC-002,"$1,898.26",2025-05-11
ENT-035,035,LOC-008,"$1,633.89",2025-02-22
ENT-059,REC059,LOC-002,"$1,704.17",2025-05-03
ENT-046,REC-046,LOC-002,$202.89,2025-03-14
ENT-043,REC-043,LOC-006,$151.01,2025-03-22
ENT-096,REC096,LOC-011,$822.70,2025-06-10
ENT-055,REC055,LOC-008,$577.65,2025-02-07
ENT-045,rec_045,LOC-010,$950.62,2025-04-07
ENT-068, REC-068 ,LOC-009,"$1,410.04",2025-06-27
ENT-071, REC-071 ,LOC-010,$429.15,2025-02-22
ENT-106,113,LOC-004,"$1,681.33",2025-05-16
ENT-048,REC-048,LOC-011,$205.85,2025-06-11
ENT-075,REC-075,LOC-003,"$1,485.05",2025-05-01
ENT-085,085,LOC-012,$225.11,2025-04-08
ENT-040,REC-040,LOC-004,$147.41,2025-05-18
ENT-032,rec_032,LOC-003,"$1,083.36",2025-05-11
ENT-107,114,LOC-011,$486.10,2025-01-23
ENT-052, REC-052 ,LOC-009,"$1,673.69",2025-02-06
ENT-029,029,LOC-012,"$1,752.95",2025-05-25
ENT-038,REC038,LOC-012,"$1,382.84",2025-04-22
ENT-012,REC012,LOC-012,$148.41,2025-03-03
ENT-003, REC-003 ,LOC-001,$69.30,2025-02-17
ENT-058,rec_058,LOC-010,$958.81,2025-01-17
ENT-111,REC116,LOC-002,$285.36,2025-04-23
ENT-092,REC-092,LOC-009,$250.14,2025-03-02
ENT-083, REC-083 ,LOC-006,"$1,566.95",2025-06-28
ENT-061,061,LOC-004,"$1,162.05",2025-05-03
ENT-089,REC-089,LOC-009,$805.36,2025-01-04
ENT-114,119,LOC-007,$785.06,2025-05-13
ENT-098, REC-098 ,LOC-011,"$1,498.79",2025-05-19
ENT-119,NULL,LOC-006,147.03,2025-04-01
ENT-063, REC-063 ,LOC-011,"$1,435.22",2025-03-13
ENT-053,rec_053,LOC-007,$971.43,2025-04-02
ENT-093,093,LOC-012,$877.75,2025-03-14
ENT-031,031,LOC-011,"$1,020.25",2025-02-12
ENT-011,REC-011,LOC-005,"$1,660.52",2025-05-07
ENT-025,REC025,LOC-010,$136.42,2025-05-15
ENT-067,REC-067,LOC-004,$745.36,2025-04-27
ENT-002, REC-002 ,LOC-003,"$1,475.58",2025-05-14
ENT-072,REC072,LOC-011,"$1,707.30",2025-03-28
ENT-036,REC036,LOC-008,"$1,894.23",2025-03-17
